action_name,class,method,result_name,result_type,result_value,resolved_jsp
"ManufacturDetails","pharmacy","ManufacturDetails","success","tiles","manufacture-details","/Pharmacy/ManufacturerList.jsp?main=15&amp;sub=12"
"getSupplierDetailsForEdit","pharmacy","getSupplierDetailsForEdit","success","tiles","supplier-details","/Pharmacy/SupplierList.jsp?main=15&amp;sub=1"
"updateSupplierDetails","pharmacy","updateSupplierDetails","success","tiles","supplier-details","/Pharmacy/SupplierList.jsp?main=15&amp;sub=1"
"deleteSupplierDetail","pharmacy","deleteSupplierDetail","success","tiles","supplier-details","/Pharmacy/SupplierList.jsp?main=15&amp;sub=1"
"getManufacturer","pharmacy","execute","success","tiles","manufacturer-add","/Pharmacy/ManufacturerDetails.jsp?main=15&amp;sub=12"
"createManufacturer","pharmacy","createManufacturer","success","tiles","manufacture-create","/Pharmacy/ManufacturerMessage.jsp?main=15&amp;sub=12"
"getmanufactListForEdit","pharmacy","getmanufactListForEdit","success","tiles","manufacture-details","/Pharmacy/ManufacturerList.jsp?main=15&amp;sub=12"
"updatemanufactList","pharmacy","updatemanufactList","success","tiles","manufacture-details","/Pharmacy/ManufacturerList.jsp?main=15&amp;sub=12"
"deleteManufactList","pharmacy","deleteManufactList","success","tiles","manufacture-details","/Pharmacy/ManufacturerList.jsp?main=15&amp;sub=12"
"activateSupplierDetail","pharmacy","activateSupplierDetail","success","tiles","supplier-details","/Pharmacy/SupplierList.jsp?main=15&amp;sub=1"
"activateManufactList","pharmacy","activateManufactList","success","tiles","manufacture-details","/Pharmacy/ManufacturerList.jsp?main=15&amp;sub=12"
"activateProductDetails","pharmacy","activateProductDetails","success","tiles","master-report","/HMS Android/MasterReport.jsp?main=30&amp;sub=0"
"getRequestByConsultant","pharmacy","execute","success","tiles","patient-details-consultant",""
"confirmSelligDetailsdul","pharmacy","confirmSelligDetailsdul","success","tiles","gerReceiptForOpIpBillingmult","/Pharmacy/OpIpReceiptmult.jsp?main=15&amp;sub=4"
"getDetailByNF","pharmacy","getDetailByName","success","dispatcher","/Pharmacy/productDetails.jsp","/Pharmacy/productDetails.jsp"
"addComponentDetailsForNF","pharmacy","addComponentDetailsForNF","success","tiles","patient-details-nf","/Pharmacy/BillingThrowNF.jsp?main=15&amp;sub=4"
"deleteProducDetailByNF","pharmacy","deleteProducDetailByNF","success","tiles","patient-details-nf","/Pharmacy/BillingThrowNF.jsp?main=15&amp;sub=4"
"addipopbillingDetailsConfirm","pharmacy","addipopbillingDetailsConfirm","success","tiles","nf-details-print",""
"getDetailByNameByNF","pharmacy","getDetailByName","success","dispatcher","/Pharmacy/AddDrugsByNF.jsp","/Pharmacy/AddDrugsByNF.jsp"
"getProductNameSearch","pharmacy","getProductNameSearch","success","dispatcher","/Pharmacy/AddDrugsByNF.jsp","/Pharmacy/AddDrugsByNF.jsp"
"SlowmovingDrugs","pharmacy","SlowmovingDrugs","success","tiles","slow-report","/Pharmacy/SlowMovingReport.jsp?main=34&amp;sub=10"
"SlowmovingDrugsPh","pharmacy","SlowmovingDrugs","success","tiles","SlowmovingDrugsPh",""
"nonemovingDrugs","pharmacy","nonemovingDrugs","success","tiles","none-report","/Pharmacy/NonMovingReport.jsp?main=34&amp;sub=11"
"nonemovingDrugsPh","pharmacy","nonemovingDrugs","success","tiles","nonemovingDrugsPh",""
"SlowmovingDrugsByDate","pharmacy","SlowmovingDrugsByDate","success","tiles","slow-report","/Pharmacy/SlowMovingReport.jsp?main=34&amp;sub=10"
"nonemovingDrugsByDate","pharmacy","nonemovingDrugsByDate","success","tiles","none-report","/Pharmacy/NonMovingReport.jsp?main=34&amp;sub=11"
"fastmovingDrugs","pharmacy","getfastmovingDrugs","success","tiles","fast-moving-report","/Pharmacy/FastMovingReport.jsp?main=34&amp;sub=13"
"fastmovingDrugsPh","pharmacy","getfastmovingDrugs","success","tiles","fastmovingDrugsPh",""
"getfastmovingDrugsByDate","pharmacy","getfastmovingDrugsByDate","success","tiles","fast-moving-report","/Pharmacy/FastMovingReport.jsp?main=34&amp;sub=13"
"getPharmacyOutstandingPaymentDetails","pharmacy","getOutstandingPaymentDetails","success","tiles","supplier-pyment-info","/Pharmacy/SupplierOutstandingPaymentDetails.jsp?main=28&amp;sub=23"
